Time,SM1_5cm Vol %,RDP1_5cm,ST1_5cm deg C,SM2_15cm Vol %,RDP2_15cm,ST2_15cm deg C,SM3_50cm Vol %,RDP3_50cm,ST3_50cm deg C,HFP01_W/m2,HFP02_W/m2,System Voltage,System Temp,Modem Signal
11-Mar-25 9:00:00,14.600,8.912,27.500,19.300,11.623,29.200,19.600,11.864,28.900,-1.739,-8.237,13.746,26.200,77.000
11-Mar-25 9:15:00,14.600,8.912,27.500,19.300,11.622,28.900,19.400,11.722,28.900,3.479,-1.647,14.290,27.300,
11-Mar-25 9:30:00,14.600,8.912,27.500,19.300,11.622,28.900,19.600,11.864,28.900,10.436,4.942,13.746,28.300,
11-Mar-25 9:45:00,14.600,8.912,27.500,19.300,11.622,28.900,19.600,11.864,28.900,15.655,9.884,14.592,28.800,
11-Mar-25 10:00:00,14.600,8.912,27.500,19.300,11.620,28.900,19.600,11.864,28.900,19.133,16.474,13.753,29.000,80.000
11-Mar-25 10:15:00,14.600,8.913,27.800,19.300,11.620,28.900,19.400,11.722,28.900,22.612,21.416,13.746,29.500,
11-Mar-25 10:30:00,14.900,9.067,27.800,18.900,11.406,28.900,19.600,11.864,28.900,29.570,26.358,14.760,29.800,
11-Mar-25 10:45:00,14.600,8.916,27.800,19.400,11.740,28.900,19.600,11.864,28.900,33.049,31.301,13.766,30.300,
11-Mar-25 11:00:00,14.900,9.069,28.000,18.300,11.059,28.600,19.600,11.864,28.900,34.788,32.948,13.746,31.000,80.000
11-Mar-25 11:15:00,14.800,8.975,28.000,19.400,11.738,28.600,19.600,11.864,28.900,36.527,36.243,13.780,32.500,80.000
11-Mar-25 11:30:00,14.800,8.977,28.300,19.400,11.738,28.600,19.400,11.722,28.900,43.485,41.185,13.786,33.000,80.000
11-Mar-25 11:45:00,15.000,9.133,28.300,18.300,11.030,28.900,19.400,11.722,28.900,52.182,49.422,13.793,33.500,87.000
11-Mar-25 12:00:00,15.000,9.135,28.600,19.400,11.738,28.600,19.400,11.690,28.900,59.140,56.012,13.786,33.800,83.000
11-Mar-25 12:15:00,14.800,9.025,28.900,18.600,11.221,28.600,19.400,11.722,28.900,66.097,60.954,13.766,33.500,80.000
11-Mar-25 12:30:00,14.900,9.045,29.200,18.100,10.892,28.600,19.600,11.864,28.600,71.315,65.896,13.773,33.300,80.000
11-Mar-25 12:45:00,15.200,9.203,29.500,17.900,10.805,28.000,19.000,11.487,28.900,74.794,70.838,14.115,33.300,80.000
11-Mar-25 13:00:00,14.700,8.971,29.800,19.000,11.437,28.900,19.400,11.722,28.900,78.273,74.133,13.780,33.300,77.000
11-Mar-25 13:15:00,15.000,9.114,30.100,19.300,11.620,28.900,19.600,11.864,28.900,80.012,77.428,13.786,32.500,
